PROJECT ID,PROJECT NAME,PROJECT STATUS,PRODUCT LINE,REGION,COUNTRY,LENDING INSTRUMENT,LENDING INSTRUMENT TYPE,ENV. CATEGORY,IMP AGENCY,SECTOR 1,APPROVAL DATE,CLOSING DATE,commitment_total,disbursement_total,d1,pct_dis1,total_pct_dis1,d2,pct_dis2,total_pct_dis2,d3,pct_dis3,total_pct_dis3,d4,pct_dis4,total_pct_dis4,d5,pct_dis5,total_pct_dis5,d6,pct_dis6,total_pct_dis6,d7,pct_dis7,total_pct_dis7,full_duration,ad1,d1_duration,d1_pct_duration,ad2,d2_duration,d2_pct_duration,ad3,d3_duration,d3_pct_duration,ad4,d4_duration,d4_pct_duration,ad5,d5_duration,d5_pct_duration,ad6,d6_duration,d6_pct_duration,ad7,d7_duration,d7_pct_duration
P117088,Financial Sector and Public Financial Management Development Policy Credit,Closed,IBRD/IDA,AFRICA,Nigeria,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,General public administration sector,28-Jul-09,30-Jun-10,500000000,507523440,507523440,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,11,28-Jul-09,0,,,,,,,,,,,,,,,,,,,
P117102,CM-Sanitation Project,Active,IBRD/IDA,AFRICA,Cameroon,Adaptable Program Loan,INVESTMENT,B,,Sanitation,23-Jun-11,31-Mar-17,30000000,4714143.3,4714143.3,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,69,23-Jun-11,0,,,,,,,,,,,,,,,,,,,
P117103,National Solidarity Program III,Active,IBRD/IDA,SOUTH ASIA,Afghanistan,Specific Investment Loan,INVESTMENT,B,MRRD,"General water, sanitation and flood protection sector",29-Jun-10,30-Sep-15,40000000,41966598.89,41966598.89,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,63,29-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117107,Liaoning and Shandong Technical and Vocational Education and Training Project,Active,IBRD/IDA,EAST ASIA AND PACIFIC,China,Specific Investment Loan,INVESTMENT,C,PROVINCES OF LIAONING AND SHANDONG,Vocational training,1-Jun-10,31-Dec-15,40000000,32917479.98,32917479.98,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,66,1-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117122,Sao Paulo Trains and Signaling Additional Financing,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Brazil,Specific Investment Loan,INVESTMENT,B,STATE SECRETARY OF METROPOLITAN TRANSPORT,Urban Transport,21-Sep-10,N/A,112910000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P117152,Kakheti Regional Roads Improvement Project,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Georgia,Specific Investment Loan,INVESTMENT,B,ROADS DEPARTMENT OF THE MINISTRY OF RD AND INFRASTRUCTURE,Rural and Inter-Urban Roads and Highways,10-Nov-09,30-Aug-15,30000000,30000000,30000000,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,69,10-Nov-09,0,,,,,,,,,,,,,,,,,,,
P117157,STRENGTHENING PUBLIC HEALTH CARE SYSTEM,Active,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,El Salvador,Specific Investment Loan,INVESTMENT,C,EL SALVADOR MINISTRY OF HEALTH,Health,21-Jul-11,30-Jun-16,80000000,9678240.02,9678240.02,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,59,21-Jul-11,0,,,,,,,,,,,,,,,,,,,
P117161,Tunisia Employment DPL,Closed,IBRD/IDA,MIDDLE EAST AND NORTH AFRICA,Tunisia,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTERE DE LA FORMATION PROFESSIONNELLE ET DE L'EMPLOI,Other social services,1-Jul-10,30-Jun-11,50000000,50000000,50000000,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,11,1-Jul-10,0,,,,,,,,,,,,,,,,,,,
P117201,Morocco - Sustainable Access to Finance DPL,Closed,IBRD/IDA,MIDDLE EAST AND NORTH AFRICA,Morocco,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Banking,26-Jan-10,31-Dec-11,200000000,183379857.6,183379857.6,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,23,26-Jan-10,0,,,,,,,,,,,,,,,,,,,
P117203,Smallholder Agriculture and Social Protection Support Operation,Closed,IBRD/IDA,EAST ASIA AND PACIFIC,Cambodia,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF ECONOMY AND FINANCE,Other social services,9-Jul-09,31-May-10,5000000,5285214,5285214,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,10,9-Jul-09,0,,,,,,,,,,,,,,,,,,,
P117229,Comoros Development Policy Grant,Closed,IBRD/IDA,AFRICA,Comoros,Development Policy Lending,DEVELOPMENT POLICY LENDING,,,Central government administration,1-Jun-10,30-Jun-11,3000000,3128530.6,3128530.6,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,12,1-Jun-10,0,,,,,,,,,,,,,,,,,,,
